"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"26","Google Pixel users reporting camera app issue - https://t.co/FVmUMTyriG #GooglePixel",FALSE,0,NA,2016-12-03 14:39:00,FALSE,NA,"805058759894646785",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","thestevendavid",0,FALSE,FALSE,NA,NA
"27","Google Pixel Camera Issues: Google Is Aware Of The Problem And Is Working On A Fix - Tech… https://t.co/DPkdS8PM0W… https://t.co/ztBO9WRG1P",FALSE,0,NA,2016-12-03 10:10:35,TRUE,NA,"804991213442998272",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PixelPhoneNews",0,FALSE,FALSE,NA,NA
"28","#GooglePixel is one of the best android phones but it's video recording quality is unbearable! What happened to best camera on the market?",FALSE,0,NA,2016-12-03 07:42:36,FALSE,NA,"804953970229776384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malsooj",0,FALSE,FALSE,NA,NA
"29","RT @techjunkiejh: Pixel owners have been reporting another issue with the camera #googlepixel #mobile https://t.co/Iz6u3CrCmg",FALSE,0,NA,2016-12-03 07:25:46,FALSE,NA,"804949734268043264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Colwildotcom",1,TRUE,FALSE,NA,NA
"30","Google Pixel Has A New Major Camera Problem https://t.co/6cMe2lblQW #googlepixel #mobile https://t.co/0JgUjGH6fa",FALSE,0,NA,2016-12-03 02:19:59,FALSE,NA,"804872780575625216",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","techjunkiejh",0,FALSE,FALSE,NA,NA
"31","The #googlepixel camera is far superior to iPhone #nyc #nofilter https://t.co/ETIL0swhEH",FALSE,1,NA,2016-12-02 22:57:47,FALSE,NA,"804821897292738560",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","codywalton",0,FALSE,FALSE,NA,NA
"32","[Google Pixel Review]
Design: 9.0
Features: 8.0
Performance: 9.0
Camera: 9.0
Battery: 8.0

#GooglePixel… https://t.co/s5vVOqmROk",FALSE,0,NA,2016-12-02 22:56:53,TRUE,NA,"804821669323776000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Happycall3",0,FALSE,FALSE,NA,NA
"33","Google Pixel camera bug: five workarounds that may solve the issue https://t.co/eHXAK7nUcT #GooglePixel https://t.co/oHlyDnorwQ",FALSE,5,NA,2016-12-02 22:52:24,FALSE,NA,"804820542377312256",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","GooglePixels",0,FALSE,FALSE,NA,NA
"34","RT techjunkiejh:Pixel owners have been reporting another issue with the camera #googlepixel #mobile https://t.co/y6Gjor4IPJ",FALSE,0,NA,2016-12-02 21:16:15,FALSE,NA,"804796343684395012",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","vernonemrit",0,FALSE,FALSE,NA,NA
"35","Pixel owners have been reporting another issue with the camera #googlepixel #mobile https://t.co/Iz6u3CrCmg",FALSE,0,NA,2016-12-02 21:14:47,FALSE,NA,"804795974992404481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","techjunkiejh",1,FALSE,FALSE,NA,NA
"36","Google Pixel Owners Report Another Issue with the Camera - XDA Developers (blog) https://t.co/awi3deWAhu… https://t.co/mOd2puUROC",FALSE,0,NA,2016-12-02 15:53:06,TRUE,NA,"804715019577327617",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PixelPhoneNews",0,FALSE,FALSE,NA,NA
"37","$GOOGL #Alphabet #GooglePixel Owners Experiences Strange Camera App Freezing Issues - https://t.co/PJinvEhIv5",FALSE,0,NA,2016-12-02 15:39:03,FALSE,NA,"804711483254915072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JessicaParrish0",0,FALSE,FALSE,NA,NA
"38","Google Pixel owners are noticing THIS really bizarre camera glitch -… https://t.co/YHk6VmBnM1 #GooglePixel… https://t.co/KTAHWDe4Rb",FALSE,0,NA,2016-12-02 14:02:36,TRUE,NA,"804687214625968128",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PixelPhoneNews",0,FALSE,FALSE,NA,NA
"39","#GooglePixel Has A New Major Camera Problem https://t.co/lZlp4n305O  @Yahoo @google",FALSE,0,NA,2016-12-02 05:11:05,FALSE,NA,"804553453250875392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marikokoloco",0,FALSE,FALSE,NA,NA
